h = 0.01, √1.0 ≈ 0.498756211208895, erro = -0.0012437887911049827
h = 0.001, √1.0 ≈ 0.4998750624609638, erro = -0.0001249375390361962
h = 0.0001, √1.0 ≈ 0.49998750062396624, erro = -1.2499376033758836e-5
h = 9.999999999999999e-6, √1.0 ≈ 0.49999875000317223, erro = -1.2499968277679407e-6
h = 1.0e-6, √1.0 ≈ 0.4999998750587764, erro = -1.2494122358930326e-7
h = 1.0e-7, √1.0 ≈ 0.4999999880794803, erro = -1.1920519682462327e-8
h = 1.0e-8, √1.0 ≈ 0.4999999969612645, erro = -3.038735485461075e-9
h = 1.0e-9, √1.0 ≈ 0.5000000413701855, erro = 4.137018549954519e-8
h = 1.0e-10, √1.0 ≈ 0.5000000413701855, erro = 4.137018549954519e-8
h = 1.0000000000000001e-11, √1.0 ≈ 0.5000000413701855, erro = 4.137018549954519e-8
h = 1.0e-12, √1.0 ≈ 0.5000444502911705, erro = 4.445029117050581e-5
h = 1.0e-13, √1.0 ≈ 0.49960036108132044, erro = -0.0003996389186795568
h = 1.0e-14, √1.0 ≈ 0.4884981308350689, erro = -0.011501869164931122
h = 1.0e-15, √1.0 ≈ 0.44408920985006256, erro = -0.05591079014993744
